country,year,suicides_no,population,suicides/100k,latitude,longitude
Albania,1987,73,2709600,2.6941245940360203,41.153332,20.168331
Albania,1988,63,2764300,2.279057989364396,41.153332,20.168331
Albania,1989,68,2803100,2.4258856266276623,41.153332,20.168331
Albania,1992,47,2822500,1.6651904340124002,41.153332,20.168331
Albania,1993,73,2807300,2.60036333843907,41.153332,20.168331
Albania,1994,50,2849300,1.7548169725897587,41.153332,20.168331
Albania,1995,88,2903400,3.03092925535579,41.153332,20.168331
Albania,1996,89,2940200,3.0270049656485956,41.153332,20.168331
Albania,1997,170,2977300,5.709871359957008,41.153332,20.168331
Albania,1998,154,3012700,5.111693829455306,41.153332,20.168331
Albania,1999,139,3029700,4.587912994685943,41.153332,20.168331
Albania,2000,54,2796300,1.931123270035404,41.153332,20.168331
Albania,2001,119,2799349,4.250988354792489,41.153332,20.168331
Albania,2002,133,2818839,4.718254572183796,41.153332,20.168331
Albania,2003,124,2843929,4.360165109607167,41.153332,20.168331
Albania,2004,146,2874991,5.078276766779444,41.153332,20.168331
Albania,2005,0,2783320,0.0,41.153332,20.168331
Albania,2006,0,2780176,0.0,41.153332,20.168331
Albania,2007,124,2770344,4.47597843444713,41.153332,20.168331
Albania,2008,160,2757059,5.803285312356391,41.153332,20.168331
Albania,2009,0,2745735,0.0,41.153332,20.168331
Albania,2010,96,2736025,3.5087398689704954,41.153332,20.168331
Antigua and Barbuda,1985,0,62574,0.0,17.060816,-61.796428
Antigua and Barbuda,1986,0,61270,0.0,17.060816,-61.796428
Antigua and Barbuda,1987,0,60261,0.0,17.060816,-61.796428
Antigua and Barbuda,1988,0,59564,0.0,17.060816,-61.796428
Antigua and Barbuda,1989,0,59238,0.0,17.060816,-61.796428
Antigua and Barbuda,1990,1,59334,1.6853743216368355,17.060816,-61.796428
Antigua and Barbuda,1991,0,60394,0.0,17.060816,-61.796428
Antigua and Barbuda,1992,0,61741,0.0,17.060816,-61.796428
Antigua and Barbuda,1993,1,63315,1.5794045644791912,17.060816,-61.796428
Antigua and Barbuda,1994,0,65044,0.0,17.060816,-61.796428
Antigua and Barbuda,1995,0,66846,0.0,17.060816,-61.796428
Antigua and Barbuda,1998,0,72225,0.0,17.060816,-61.796428
Antigua and Barbuda,1999,0,73832,0.0,17.060816,-61.796428
Antigua and Barbuda,2000,2,75326,2.6551257202028515,17.060816,-61.796428
Antigua and Barbuda,2001,2,76497,2.614481613658052,17.060816,-61.796428
Antigua and Barbuda,2002,0,77588,0.0,17.060816,-61.796428
Antigua and Barbuda,2003,1,78658,1.2713265020722622,17.060816,-61.796428
Antigua and Barbuda,2004,2,79722,2.508717794335315,17.060816,-61.796428
Antigua and Barbuda,2005,0,80809,0.0,17.060816,-61.796428
